Unnamed: 0,Registration_Number,Registration_Date,Registration_Year,State,RTO_Office,Vehicle_Category,Vehicle_Sub_Type,Manufacturer_Brand,Fuel_Type,Emission_Norm,Engine_CC,Seating_Capacity,Vehicle_Age_Years
45,REG100046,03-06-2021,2021,Karnataka,Udaipur (RJ-27),2W,Moped,Yamaha,EV,BS6,0,2,3
46,REG100047,07-12-2019,2019,Karnataka,Rajkot (GJ-03),2W,Moped,Royal Enfield,EV,BS4,0,2,5
47,REG100048,27-05-2023,2023,Karnataka,Indore (MP-09),4W,SUV,Honda,CNG,BS6,1462,8,1
48,REG100049,31-08-2023,2023,Karnataka,Patiala (PB-11),4W,MUV,MG,Diesel,BS6,1197,5,1
49,REG100050,25-04-2020,2020,Karnataka,Gandhinagar (GJ-18),4W,SUV,Hyundai,Hybrid,BS6,1462,6,4
50,REG100051,19-11-2019,2019,Karnataka,Mumbai Central (MH-01),2W,Scooter,Ola Electric,Hybrid,BS4,0,2,5
51,REG100052,24-02-2023,2023,Karnataka,Delhi North (DL-04),3W,Auto Rickshaw,Piaggio,EV,BS6,0,3,1
52,REG100053,08-12-2022,2022,Karnataka,Trichy (TN-45),3W,Tempo,Piaggio,CNG,BS6,250,6,2
53,REG100054,19-08-2023,2023,Karnataka,Patiala (PB-11),2W,Moped,KTM,Petrol,BS6,160,2,1
54,REG100055,27-05-2022,2022,Karnataka,Delhi West (DL-08),4W,MUV,Mahindra,Petrol,BS6,1462,7,2
55,REG100056,19-03-2020,2020,Karnataka,Kota (RJ-20),LCV,Mini Truck,Mahindra,Diesel,BS4,2956,9,4
56,REG100057,18-07-2020,2020,Karnataka,Varanasi (UP-65),2W,Scooter,Suzuki,Petrol,BS6,0,2,4
57,REG100058,02-06-2018,2018,Karnataka,Thiruvananthapuram (KL-01),LCV,Light Bus,Force Motors,Diesel,BS4,0,12,6
58,REG100059,15-01-2021,2021,Karnataka,Khammam (TS-07),4W,Sedan,MG,Petrol,BS6,1968,7,3
59,REG100060,31-10-2022,2022,Karnataka,Jabalpur (MP-20),4W,MUV,Tata Motors,CNG,BS6,800,5,2
60,REG100061,19-04-2021,2021,Karnataka,Jabalpur (MP-20),2W,Scooter,TVS,Petrol,BS6,350,2,3
61,REG100062,09-05-2024,2024,Karnataka,Kota (RJ-20),4W,MUV,Kia,Hybrid,BS6,1000,8,0
62,REG100063,21-01-2019,2019,Karnataka,Aurangabad (MH-20),2W,Scooter,Bajaj,EV,BS4,0,2,5
63,REG100064,28-02-2019,2019,Karnataka,Delhi East (DL-02),LCV,Light Bus,Mahindra,Diesel,BS4,2956,12,5
64,REG100065,28-02-2024,2024,Karnataka,Kozhikode (KL-11),4W,Sedan,Skoda,CNG,BS6,1197,7,0
65,REG100066,22-07-2024,2024,Karnataka,Belgaum (KA-22),2W,Scooter,Ola Electric,CNG,BS6,0,2,0
66,REG100067,04-11-2023,2023,Karnataka,Belgaum (KA-22),4W,Sedan,Hyundai,EV,BS6,0,5,1
67,REG100068,04-08-2023,2023,Karnataka,Ajmer (RJ-01),2W,Scooter,Honda,EV,BS6,0,2,1
68,REG100069,25-09-2022,2022,Karnataka,Mangalore (KA-19),HCV,Tanker,MAN,Diesel,BS6,5660,52,2
69,REG100070,14-02-2021,2021,Karnataka,Karimnagar (TS-01),3W,Tempo,Atul Auto,CNG,BS6,250,6,3
70,REG100071,04-04-2022,2022,Karnataka,Delhi North (DL-04),4W,MUV,Toyota,Petrol,BS6,2179,6,2
71,REG100072,13-02-2018,2018,Karnataka,Kota (RJ-20),2W,Moped,Royal Enfield,EV,BS4,0,2,6
72,REG100073,18-08-2023,2023,Karnataka,Thrissur (KL-08),3W,Auto Rickshaw,Kinetic Green,Diesel,BS6,200,3,1
73,REG100074,11-10-2022,2022,Karnataka,Surat (GJ-05),2W,Motorcycle,Royal Enfield,EV,BS6,0,2,2
74,REG100075,06-06-2023,2023,Karnataka,Udaipur (RJ-27),OTH,Road Roller,John Deere,Diesel,BS6,5660,2,1
75,REG100076,21-04-2023,2023,Karnataka,Mysore (KA-09),2W,Moped,Ather,Hybrid,BS6,0,2,1
76,REG100077,31-05-2024,2024,Karnataka,Gandhinagar (GJ-18),OTH,Road Roller,Escorts,Diesel,BS6,4998,32,0
77,REG100078,11-10-2018,2018,Karnataka,Madurai (TN-58),2W,Moped,TVS,Petrol,BS4,160,2,6
78,REG100079,03-09-2022,2022,Karnataka,Kochi (KL-07),4W,MUV,Hyundai,Petrol,BS6,2179,7,2
79,REG100080,23-10-2021,2021,Karnataka,Chennai Central (TN-01),2W,Scooter,Honda,Petrol,BS6,100,2,3
80,REG100081,02-08-2019,2019,Karnataka,Coimbatore (TN-37),4W,SUV,Hyundai,Petrol,BS6,1462,8,5
81,REG100082,09-11-2022,2022,Karnataka,Siliguri (WB-73),2W,Moped,Suzuki,Petrol,BS6,110,2,2
82,REG100083,21-03-2020,2020,Karnataka,Delhi East (DL-02),2W,Motorcycle,TVS,Petrol,BS6,100,2,4
83,REG100084,24-05-2020,2020,Karnataka,Varanasi (UP-65),4W,MUV,Kia,Petrol,BS4,2179,5,4
84,REG100085,18-03-2022,2022,Karnataka,Indore (MP-09),HCV,Bus,BharatBenz,Diesel,BS6,5660,2,2
85,REG100086,13-08-2023,2023,Karnataka,Bangalore Central (KA-01),2W,Scooter,Ola Electric,Hybrid,BS6,0,2,1
86,REG100087,03-11-2022,2022,Karnataka,Durgapur (WB-40),4W,SUV,Renault,Diesel,BS6,800,8,2
87,REG100088,27-10-2024,2024,Karnataka,Kozhikode (KL-11),4W,Hatchback,Hyundai,Petrol,BS6,800,7,0
88,REG100089,03-04-2023,2023,Karnataka,Chandigarh (CH-01),4W,Sedan,MG,Diesel,BS6,1968,8,1
89,REG100090,18-06-2019,2019,Karnataka,Mangalore (KA-19),2W,Scooter,Yamaha,CNG,BS4,250,2,5
90,REG100091,10-05-2022,2022,Karnataka,Thrissur (KL-08),2W,Scooter,Ather,Petrol,BS6,0,2,2
91,REG100092,23-09-2021,2021,Karnataka,Mangalore (KA-19),LCV,Mini Truck,Eicher,Diesel,BS6,3298,15,3
92,REG100093,13-08-2019,2019,Karnataka,Siliguri (WB-73),4W,Sedan,Kia,CNG,BS4,2179,5,5
93,REG100094,17-02-2018,2018,Karnataka,Aurangabad (MH-20),4W,Sedan,Kia,CNG,BS4,1462,5,6
94,REG100095,20-05-2021,2021,Karnataka,Kolkata (WB-01),4W,Sedan,MG,EV,BS6,0,8,3
95,REG100096,10-03-2024,2024,Karnataka,Howrah (WB-13),3W,Auto Rickshaw,Mahindra,CNG,BS6,200,6,0
96,REG100097,24-10-2023,2023,Karnataka,Agra (UP-80),HCV,Trailer,Tata Motors,Diesel,BS6,6700,2,1
97,REG100098,14-06-2022,2022,Karnataka,Asansol (WB-39),3W,E-Rickshaw,Atul Auto,Petrol,BS6,225,7,2
98,REG100099,15-07-2023,2023,Karnataka,Delhi South (DL-09),2W,Scooter,Hero,Petrol,BS6,250,2,1
99,REG100100,21-02-2024,2024,Karnataka,Indore (MP-09),3W,Auto Rickshaw,Piaggio,Diesel,BS6,0,3,0
100,REG100101,28-08-2024,2024,Karnataka,Karimnagar (TS-01),2W,Motorcycle,Suzuki,EV,BS6,0,2,0
101,REG100102,11-06-2024,2024,Karnataka,Ajmer (RJ-01),4W,Hatchback,Toyota,EV,BS6,0,5,0
102,REG100103,20-02-2023,2023,Karnataka,Chandigarh (CH-01),2W,Moped,Royal Enfield,Petrol,BS6,110,2,1
103,REG100104,03-07-2023,2023,Karnataka,Howrah (WB-13),4W,Hatchback,Maruti Suzuki,Diesel,BS6,1598,8,1
104,REG100105,14-11-2019,2019,Karnataka,Coimbatore (TN-37),4W,Sedan,Tata Motors,Petrol,BS4,1462,8,5
105,REG100106,26-08-2020,2020,Karnataka,Ludhiana (PB-10),2W,Moped,Royal Enfield,EV,BS6,0,2,4
106,REG100107,20-12-2021,2021,Karnataka,Ujjain (MP-13),2W,Scooter,Yamaha,EV,BS6,0,2,3
107,REG100108,02-07-2020,2020,Karnataka,Durgapur (WB-40),2W,Scooter,KTM,Petrol,BS6,0,2,4
108,REG100109,26-01-2018,2018,Karnataka,Vadodara (GJ-06),2W,Moped,Suzuki,Petrol,BS4,0,2,6
109,REG100110,22-11-2023,2023,Karnataka,Thrissur (KL-08),LCV,Pickup Van,Mahindra,CNG,BS6,2956,15,1
110,REG100111,09-03-2018,2018,Karnataka,Surat (GJ-05),4W,Hatchback,Kia,Diesel,BS4,1000,7,6
111,REG100112,26-03-2022,2022,Karnataka,Udaipur (RJ-27),2W,Motorcycle,Ather,Petrol,BS6,0,2,2
112,REG100113,25-04-2024,2024,Karnataka,Durgapur (WB-40),4W,SUV,Hyundai,Diesel,BS6,1968,7,0
113,REG100114,11-12-2021,2021,Karnataka,Mangalore (KA-19),2W,Moped,Honda,EV,BS4,0,2,3
114,REG100115,13-11-2020,2020,Karnataka,Jalandhar (PB-08),4W,SUV,Hyundai,EV,BS6,0,7,4
115,REG100116,24-01-2021,2021,Karnataka,Ludhiana (PB-10),4W,MUV,Kia,EV,BS6,0,7,3
116,REG100117,23-12-2022,2022,Karnataka,Kolkata (WB-01),2W,Moped,TVS,Petrol,BS6,400,2,2
117,REG100118,12-11-2019,2019,Karnataka,Allahabad (UP-70),4W,Sedan,Honda,EV,BS4,0,7,5
118,REG100119,08-07-2019,2019,Karnataka,Nagpur (MH-31),2W,Scooter,Bajaj,Petrol,BS4,400,2,5
119,REG100120,16-02-2024,2024,Karnataka,Gwalior (MP-07),2W,Scooter,Bajaj,Petrol,BS6,150,2,0
120,REG100121,15-04-2024,2024,Karnataka,Ujjain (MP-13),OTH,Tractor,John Deere,Diesel,BS6,3760,52,0
121,REG100122,02-01-2020,2020,Karnataka,Delhi South (DL-09),2W,Motorcycle,Yamaha,Hybrid,BS6,160,2,4
122,REG100123,08-01-2024,2024,Karnataka,Coimbatore (TN-37),4W,Sedan,Hyundai,EV,BS6,0,6,0
123,REG100124,28-02-2023,2023,Karnataka,Amritsar (PB-02),2W,Scooter,Hero,Petrol,BS6,110,2,1
124,REG100125,23-01-2020,2020,Karnataka,Siliguri (WB-73),4W,Hatchback,MG,Diesel,BS6,0,7,4
125,REG100126,31-12-2023,2023,Karnataka,Kolkata (WB-01),2W,Scooter,Suzuki,Petrol,BS6,350,2,1
126,REG100127,27-10-2021,2021,Karnataka,Bangalore Central (KA-01),2W,Motorcycle,Honda,Petrol,BS6,400,2,3
127,REG100128,09-08-2022,2022,Karnataka,Kozhikode (KL-11),2W,Moped,Ather,Petrol,BS6,0,2,2
128,REG100129,19-08-2024,2024,Karnataka,Thiruvananthapuram (KL-01),LCV,Light Bus,Eicher,EV,BS6,0,12,0
129,REG100130,11-05-2022,2022,Karnataka,Udaipur (RJ-27),2W,Moped,Honda,Petrol,BS6,200,2,2
130,REG100131,10-07-2019,2019,Karnataka,Salem (TN-30),2W,Motorcycle,Honda,EV,BS6,0,2,5
131,REG100132,05-08-2021,2021,Karnataka,Hyderabad (TS-09),4W,SUV,Hyundai,Diesel,BS6,800,7,3
132,REG100133,24-04-2020,2020,Karnataka,Amritsar (PB-02),2W,Moped,Ather,Petrol,BS6,0,2,4
133,REG100134,15-11-2023,2023,Karnataka,Ajmer (RJ-01),2W,Scooter,Ola Electric,Petrol,BS6,0,2,1
134,REG100135,07-06-2020,2020,Karnataka,Ujjain (MP-13),2W,Moped,Royal Enfield,Petrol,BS4,200,2,4
135,REG100136,21-11-2021,2021,Karnataka,Jaipur (RJ-14),2W,Motorcycle,Ola Electric,EV,BS6,0,2,3
136,REG100137,15-06-2020,2020,Karnataka,Belgaum (KA-22),2W,Scooter,KTM,Petrol,BS6,0,2,4
137,REG100138,11-02-2022,2022,Karnataka,Chandigarh (CH-01),LCV,Mini Truck,Mahindra,EV,BS6,0,12,2
138,REG100139,28-02-2020,2020,Karnataka,Jabalpur (MP-20),3W,E-Rickshaw,Mahindra,CNG,BS6,250,6,4
139,REG100140,22-07-2021,2021,Karnataka,Hubli (KA-25),4W,MUV,Renault,EV,BS6,0,5,3
140,REG100141,12-09-2021,2021,Karnataka,Delhi West (DL-08),HCV,Bus,Volvo,Diesel,BS6,6700,2,3
141,REG100142,06-02-2023,2023,Karnataka,Salem (TN-30),4W,Sedan,Renault,CNG,BS6,1968,5,1
142,REG100143,30-12-2022,2022,Karnataka,Lucknow (UP-32),3W,Auto Rickshaw,TVS,EV,BS6,0,6,2
143,REG100144,05-07-2022,2022,Karnataka,Mangalore (KA-19),2W,Scooter,TVS,EV,BS6,0,2,2
144,REG100145,23-06-2019,2019,Karnataka,Lucknow (UP-32),2W,Moped,Suzuki,EV,BS4,0,2,5
145,REG100146,28-06-2022,2022,Karnataka,Jodhpur (RJ-19),2W,Moped,Honda,EV,BS4,0,2,2
146,REG100147,01-12-2020,2020,Karnataka,Kochi (KL-07),2W,Motorcycle,Royal Enfield,Petrol,BS6,110,2,4
147,REG100148,26-11-2023,2023,Karnataka,Salem (TN-30),3W,Tempo,Atul Auto,Diesel,BS6,250,7,1
148,REG100149,30-10-2021,2021,Karnataka,Jodhpur (RJ-19),2W,Scooter,KTM,EV,BS6,0,2,3
149,REG100150,09-02-2018,2018,Karnataka,Ajmer (RJ-01),2W,Scooter,KTM,Petrol,BS4,110,2,6
150,REG100151,22-01-2024,2024,Karnataka,Patiala (PB-11),3W,E-Rickshaw,Atul Auto,EV,BS6,0,7,0
151,REG100152,22-02-2024,2024,Karnataka,Indore (MP-09),2W,Scooter,Ather,Petrol,BS6,0,2,0
152,REG100153,26-09-2023,2023,Karnataka,Thiruvananthapuram (KL-01),3W,Auto Rickshaw,Bajaj,CNG,BS6,225,6,1
153,REG100154,21-06-2023,2023,Karnataka,Kota (RJ-20),2W,Scooter,Ola Electric,Petrol,BS6,0,2,1
154,REG100155,05-11-2023,2023,Karnataka,Jaipur (RJ-14),4W,MUV,Kia,Petrol,BS6,1197,7,1
155,REG100156,08-03-2023,2023,Karnataka,Belgaum (KA-22),4W,SUV,Kia,EV,BS6,0,7,1
156,REG100157,17-12-2023,2023,Karnataka,Karimnagar (TS-01),4W,SUV,Tata Motors,EV,BS6,0,5,1
157,REG100158,23-06-2020,2020,Karnataka,Jabalpur (MP-20),3W,Auto Rickshaw,TVS,CNG,BS6,0,3,4
158,REG100159,27-09-2023,2023,Karnataka,Delhi East (DL-02),2W,Scooter,Honda,EV,BS6,0,2,1
159,REG100160,03-04-2021,2021,Karnataka,Gwalior (MP-07),LCV,Light Bus,Mahindra,CNG,BS6,2956,15,3
160,REG100161,18-08-2022,2022,Karnataka,Kolkata (WB-01),2W,Moped,Bajaj,EV,BS6,0,2,2
161,REG100162,14-08-2023,2023,Karnataka,Warangal (TS-03),2W,Scooter,Bajaj,Petrol,BS6,350,2,1
162,REG100163,09-05-2023,2023,Karnataka,Rajkot (GJ-03),3W,E-Rickshaw,Piaggio,CNG,BS6,200,7,1
163,REG100164,24-03-2021,2021,Karnataka,Durgapur (WB-40),4W,Hatchback,Renault,Petrol,BS4,1498,8,3
164,REG100165,31-07-2024,2024,Karnataka,Warangal (TS-03),LCV,Mini Truck,Mahindra,Diesel,BS6,2523,12,0
165,REG100166,29-11-2018,2018,Karnataka,Nizamabad (TS-05),2W,Motorcycle,Yamaha,Petrol,BS4,200,2,6
166,REG100167,12-11-2023,2023,Karnataka,Coimbatore (TN-37),2W,Scooter,TVS,Hybrid,BS6,100,2,1
167,REG100168,26-02-2022,2022,Karnataka,Bangalore Central (KA-01),2W,Motorcycle,Ather,CNG,BS6,0,2,2
168,REG100169,02-02-2023,2023,Karnataka,Delhi West (DL-08),2W,Motorcycle,Suzuki,EV,BS6,0,2,1
169,REG100170,30-06-2022,2022,Karnataka,Asansol (WB-39),4W,Sedan,Tata Motors,Petrol,BS6,1462,8,2
170,REG100171,11-10-2022,2022,Karnataka,Chennai Central (TN-01),3W,E-Rickshaw,Bajaj,EV,BS6,0,6,2
171,REG100172,26-06-2018,2018,Karnataka,Kolkata (WB-01),4W,SUV,Kia,Hybrid,BS4,1462,5,6
172,REG100173,17-12-2023,2023,Karnataka,Amritsar (PB-02),2W,Scooter,Ather,Petrol,BS6,0,2,1
173,REG100174,19-01-2023,2023,Karnataka,Thrissur (KL-08),4W,Sedan,Hyundai,EV,BS6,0,6,1
174,REG100175,31-08-2021,2021,Karnataka,Pune (MH-12),LCV,Pickup Van,Ashok Leyland,Diesel,BS6,3298,9,3
175,REG100176,12-08-2019,2019,Karnataka,Indore (MP-09),2W,Motorcycle,Yamaha,Petrol,BS4,250,2,5
176,REG100177,08-07-2022,2022,Karnataka,Thrissur (KL-08),LCV,Pickup Van,Ashok Leyland,Diesel,BS6,3298,9,2
177,REG100178,10-02-2021,2021,Karnataka,Thrissur (KL-08),2W,Moped,TVS,EV,BS6,0,2,3
178,REG100179,17-08-2023,2023,Karnataka,Gwalior (MP-07),2W,Moped,Suzuki,Petrol,BS6,100,2,1
179,REG100180,08-02-2024,2024,Karnataka,Kozhikode (KL-11),4W,MUV,Kia,EV,BS6,0,7,0
180,REG100181,06-03-2023,2023,Karnataka,Warangal (TS-03),HCV,Bus,Eicher,CNG,BS6,3760,2,1
181,REG100182,08-07-2020,2020,Karnataka,Gwalior (MP-07),2W,Moped,Hero,EV,BS6,0,2,4
182,REG100183,28-02-2023,2023,Karnataka,Kolkata (WB-01),4W,SUV,Honda,Diesel,BS6,800,6,1
183,REG100184,17-08-2023,2023,Karnataka,Asansol (WB-39),2W,Moped,Honda,Petrol,BS6,150,2,1
184,REG100185,20-08-2019,2019,Karnataka,Amritsar (PB-02),4W,MUV,Mahindra,Petrol,BS4,1197,8,5
185,REG100186,22-03-2021,2021,Karnataka,Hubli (KA-25),4W,Hatchback,Renault,Diesel,BS6,1197,7,3
186,REG100187,04-07-2023,2023,Karnataka,Warangal (TS-03),2W,Motorcycle,TVS,Petrol,BS6,400,2,1
187,REG100188,07-06-2024,2024,Karnataka,Amritsar (PB-02),3W,Tempo,Piaggio,EV,BS6,0,7,0
188,REG100189,25-11-2019,2019,Karnataka,Thrissur (KL-08),3W,E-Rickshaw,Atul Auto,CNG,BS4,200,6,5
189,REG100190,10-08-2023,2023,Karnataka,Asansol (WB-39),2W,Moped,Ola Electric,Petrol,BS6,0,2,1
190,REG100191,26-04-2021,2021,Karnataka,Mumbai Central (MH-01),3W,E-Rickshaw,Piaggio,CNG,BS6,250,7,3
191,REG100192,11-11-2019,2019,Karnataka,Ahmedabad (GJ-01),2W,Moped,Ather,Petrol,BS4,0,2,5
192,REG100193,22-06-2023,2023,Karnataka,Belgaum (KA-22),4W,Sedan,Tata Motors,EV,BS6,0,5,1
193,REG100194,13-11-2023,2023,Karnataka,Bangalore Central (KA-01),HCV,Trailer,MAN,Diesel,BS6,3760,45,1
194,REG100195,27-07-2023,2023,Karnataka,Ujjain (MP-13),2W,Scooter,KTM,Petrol,BS6,160,2,1
195,REG100196,24-06-2022,2022,Karnataka,Kolkata (WB-01),4W,Sedan,MG,Diesel,BS6,1197,7,2
196,REG100197,15-10-2023,2023,Karnataka,Kozhikode (KL-11),4W,SUV,Honda,Petrol,BS6,1000,7,1
197,REG100198,16-07-2019,2019,Karnataka,Delhi North (DL-04),2W,Scooter,Bajaj,Petrol,BS4,0,2,5
198,REG100199,23-03-2023,2023,Karnataka,Kanpur (UP-78),HCV,Bus,Volvo,Diesel,BS6,6700,52,1
199,REG100200,22-08-2024,2024,Karnataka,Siliguri (WB-73),LCV,Pickup Van,Tata Motors,Diesel,BS6,2956,9,0
200,REG100201,10-12-2024,2024,Karnataka,Amritsar (PB-02),2W,Scooter,KTM,EV,BS6,0,2,0
201,REG100202,06-07-2024,2024,Karnataka,Gandhinagar (GJ-18),2W,Motorcycle,Suzuki,Petrol,BS6,250,2,0
202,REG100203,07-02-2021,2021,Karnataka,Jaipur (RJ-14),2W,Moped,Ather,Petrol,BS6,0,2,3
203,REG100204,19-02-2022,2022,Karnataka,Karimnagar (TS-01),4W,SUV,Skoda,EV,BS6,0,7,2
204,REG100205,21-01-2022,2022,Karnataka,Ajmer (RJ-01),HCV,Bus,Ashok Leyland,Diesel,BS6,3760,1,2
205,REG100206,16-06-2024,2024,Karnataka,Madurai (TN-58),4W,MUV,Tata Motors,CNG,BS6,1598,6,0
206,REG100207,30-09-2022,2022,Karnataka,Allahabad (UP-70),4W,SUV,Skoda,Diesel,BS6,2179,7,2
207,REG100208,19-12-2022,2022,Karnataka,Kolkata (WB-01),2W,Moped,Honda,Petrol,BS6,100,2,2
208,REG100209,25-10-2020,2020,Karnataka,Jalandhar (PB-08),2W,Moped,Ola Electric,EV,BS6,0,2,4
209,REG100210,24-12-2020,2020,Karnataka,Trichy (TN-45),4W,MUV,Tata Motors,EV,BS6,0,6,4
210,REG100211,09-11-2020,2020,Karnataka,Nashik (MH-15),2W,Motorcycle,Suzuki,CNG,BS6,350,2,4
211,REG100212,26-09-2024,2024,Karnataka,Thiruvananthapuram (KL-01),4W,Sedan,Renault,Diesel,BS6,1968,7,0
212,REG100213,15-12-2023,2023,Karnataka,Salem (TN-30),HCV,Trailer,Eicher,Diesel,BS6,5660,52,1
213,REG100214,27-05-2020,2020,Karnataka,Howrah (WB-13),HCV,Trailer,Eicher,Diesel,BS6,4998,45,4
214,REG100215,06-10-2019,2019,Karnataka,Udaipur (RJ-27),2W,Moped,Royal Enfield,Petrol,BS4,250,2,5
215,REG100216,10-02-2021,2021,Karnataka,Agra (UP-80),HCV,Bus,Volvo,Diesel,BS6,5660,45,3
216,REG100217,23-12-2021,2021,Karnataka,Gwalior (MP-07),4W,Sedan,Mahindra,Diesel,BS6,1498,6,3
217,REG100218,26-04-2023,2023,Karnataka,Belgaum (KA-22),4W,Sedan,Mahindra,Petrol,BS6,1462,5,1
